color,name,japanese,english
0x2f847c,Celadon green,,celadon green
0xb2ffff,Celeste,,celeste
0x246bce,Celtic blue,,celtic blue
0xde3163,Cerise,,cerise
0x007ba7,Cerulean,,cerulean
0x2a52be,Cerulean blue,,cerulean blue
0x6d9bc3,Cerulean frost,,cerulean frost
0x1dacd6,Cerulean (Crayola),,cerulean (crayola)
0x007aa5,CG blue,,cg blue
0xe03c31,CG red,,cg red
0xf7e7ce,Champagne,,champagne
0xf1ddcf,Champagne pink,,champagne pink
0x36454f,Charcoal,,charcoal
0x232b2b,Charleston green,,charleston green
0xe68fac,Charm pink,,charm pink
0xdfff00,Chartreuse (traditional),,chartreuse (traditional)
0x7fff00,Chartreuse (web),,chartreuse (web)
0xffb7c5,Cherry blossom pink,,cherry blossom pink
0x954535,Chestnut,,chestnut
0xe23d28,Chili red,,chili red
0xde6fa1,China pink,,china pink
0xa8516e,China rose,,china rose
0xaa381e,Chinese red,,chinese red
0x856088,Chinese violet,,chinese violet
0xffb200,Chinese yellow,,chinese yellow
0x7b3f00,Chocolate (traditional),,chocolate (traditional)
0xd2691e,Chocolate (web),,chocolate (web)
0x58111a,Chocolate Cosmos,,chocolate cosmos
0xffa700,Chrome yellow,,chrome yellow
0x98817b,Cinereous,,cinereous
0xe34234,Cinnabar,,cinnabar
0xcd607e,Cinnamon Satin,,cinnamon satin
0xe4d00a,Citrine,,citrine
0x9fa91f,Citron,,citron
0x7f1734,Claret,,claret
0x0047ab,Cobalt blue,,cobalt blue
0xd2691e,Cocoa brown,,cocoa brown
0x6f4e37,Coffee,,coffee
0xb9d9eb,Columbia Blue,,columbia blue
0xf88379,Congo pink,,congo pink
0x8c92ac,Cool grey,,cool grey
0xb87333,Copper,,copper
0xda8a67,Copper (Crayola),,copper (crayola)
0xad6f69,Copper penny,,copper penny
0xcb6d51,Copper red,,copper red
0x996666,Copper rose,,copper rose
0xff3800,Coquelicot,,coquelicot
0xff7f50,Coral,,coral
0xf88379,Coral pink,,coral pink
0x893f45,Cordovan,,cordovan
0xfbec5d,Corn,,corn
0xb31b1b,Cornell red,,cornell red
0x6495ed,Cornflower blue,,cornflower blue
0xfff8dc,Cornsilk,,cornsilk
0x2e2d88,Cosmic cobalt,,cosmic cobalt
0xfff8e7,Cosmic latte,,cosmic latte
0x81613c,Coyote brown,,coyote brown
0xffbcd9,Cotton candy,,cotton candy
0xfffdd0,Cream,,cream
0xdc143c,Crimson,,crimson
0x9e1b32,Crimson (UA),,crimson (ua)
0xa7d8de,Crystal,,crystal
0xf5f5f5,Cultured,,cultured
0x00ffff,Cyan,,cyan
0x00b7eb,Cyan (process),,cyan (process)
0x58427c,Cyber grape,,cyber grape
0xffd300,Cyber yellow,,cyber yellow
0xf56fa1,Cyclamen,,cyclamen
0x666699,Dark blue-gray,,dark blue-gray
0x654321,Dark brown,,dark brown
0x5d3954,Dark byzantium,,dark byzantium
0x26428b,Dark cornflower blue,,dark cornflower blue
0x008b8b,Dark cyan,,dark cyan
0x536878,Dark electric blue,,dark electric blue
0xb8860b,Dark goldenrod,,dark goldenrod
0x013220,Dark green,,dark green
0x006400,Dark green (X11),,dark green (x11)
0x1a2421,Dark jungle green,,dark jungle green
0xbdb76b,Dark khaki,,dark khaki
0x483c32,Dark lava,,dark lava
0x534b4f,Dark liver,,dark liver
0x543d37,Dark liver (horses),,dark liver (horses)
0x8b008b,Dark magenta,,dark magenta
0x4a5d23,Dark moss green,,dark moss green
0x556b2f,Dark olive green,,dark olive green
0xff8c00,Dark orange,,dark orange
0x9932cc,Dark orchid,,dark orchid
0x03c03c,Dark pastel green,,dark pastel green
0x301934,Dark purple,,dark purple
0x8b0000,Dark red,,dark red
0xe9967a,Dark salmon,,dark salmon
0x8fbc8f,Dark sea green,,dark sea green
0x3c1414,Dark sienna,,dark sienna
0x8cbed6,Dark sky blue,,dark sky blue
0x483d8b,Dark slate blue,,dark slate blue
0x2f4f4f,Dark slate gray,,dark slate gray
0x177245,Dark spring green,,dark spring green
0x00ced1,Dark turquoise,,dark turquoise
0x9400d3,Dark violet,,dark violet
0x00703c,Dartmouth green,,dartmouth green
0x555555,Davy's grey,,davy's grey
0xda3287,Deep cerise,,deep cerise
0xfad6a5,Deep champagne,,deep champagne
0xb94e48,Deep chestnut,,deep chestnut
0x004b49,Deep jungle green,,deep jungle green
0xff1493,Deep pink,,deep pink
0xff9933,Deep saffron,,deep saffron
0x00bfff,Deep sky blue,,deep sky blue
0x4a646c,Deep Space Sparkle,,deep space sparkle
0x7e5e60,Deep taupe,,deep taupe
0x1560bd,Denim,,denim
0x2243b6,Denim blue,,denim blue
0xc19a6b,Desert,,desert
0xedc9af,Desert sand,,desert sand
0x696969,Dim gray,,dim gray
0x1e90ff,Dodger blue,,dodger blue
0xd71868,Dogwood rose,,dogwood rose
0x967117,Drab,,drab
0x00009c,Duke blue,,duke blue
0xefdfbb,Dutch white,,dutch white
0xe1a95f,Earth yellow,,earth yellow
0x555d50,Ebony,,ebony
0xc2b280,Ecru,,ecru
0x1b1b1b,Eerie black,,eerie black
0x614051,Eggplant,,eggplant
0xf0ead6,Eggshell,,eggshell
0x1034a6,Egyptian blue,,egyptian blue
0x16161d,Eigengrau,,eigengrau
0x7df9ff,Electric blue,,electric blue
0x00ff00,Electric green,,electric green
0x6f00ff,Electric indigo,,electric indigo
0xccff00,Electric lime,,electric lime
0xbf00ff,Electric purple,,electric purple
0x8f00ff,Electric violet,,electric violet
0x50c878,Emerald,,emerald
0x6c3082,Eminence,,eminence
0x1b4d3e,English green,,english green
0xb48395,English lavender,,english lavender
0xab4b52,English red,,english red
0xcc474b,English vermillion,,english vermillion
0x563c5c,English violet,,english violet
0x00ff40,Erin,,erin
0x96c8a2,Eton blue,,eton blue
0xc19a6b,Fallow,,fallow
0x801818,Falu red,,falu red
0xb53389,Fandango,,fandango
0xde5285,Fandango pink,,fandango pink
0xf400a1,Fashion fuchsia,,fashion fuchsia
0xe5aa70,Fawn,,fawn
0x4d5d53,Feldgrau,,feldgrau
0x4f7942,Fern green,,fern green
0x6c541e,Field drab,,field drab
0xff5470,Fiery rose,,fiery rose
0xb22222,Firebrick,,firebrick
0xce2029,Fire engine red,,fire engine red
0xe95c4b,Fire opal,,fire opal
0xe25822,Flame,,flame
0xeedc82,Flax,,flax
0xa2006d,Flirt,,flirt
0xfffaf0,Floral white,,floral white
0x15f4ee,Fluorescent blue,,fluorescent blue
0x5fa777,Forest green (Crayola),,forest green (crayola)
0x014421,Forest green (traditional),,forest green (traditional)
0x228b22,Forest green (web),,forest green (web)
0xa67b5b,French beige,,french beige
0x856d4d,French bistre,,french bistre
0x0072bb,French blue,,french blue
0xfd3f92,French fuchsia,,french fuchsia
0x86608e,French lilac,,french lilac
0x9efd38,French lime,,french lime
0xd473d4,French mauve,,french mauve
0xfd6c9e,French pink,,french pink
0xc72c48,French raspberry,,french raspberry
0xf64a8a,French rose,,french rose
0x77b5fe,French sky blue,,french sky blue
0x8806ce,French violet,,french violet
0xe936a7,Frostbite,,frostbite
0xff00ff,Fuchsia,,fuchsia
0xc154c1,Fuchsia (Crayola),,fuchsia (crayola)
0xcc397b,Fuchsia purple,,fuchsia purple
0xc74375,Fuchsia rose,,fuchsia rose
0xe48400,Fulvous,,fulvous
0x87421f,Fuzzy Wuzzy,,fuzzy wuzzy
0xdcdcdc,Gainsboro,,gainsboro
0xe49b0f,Gamboge,,gamboge
0x007f66,Generic viridian,,generic viridian
0xf8f8ff,Ghost white,,ghost white
0x6082b6,Glaucous,,glaucous
0xab92b3,Glossy grape,,glossy grape
0x00ab66,GO green,,go green
0xa57c00,Gold,,gold
0xd4af37,Gold (metallic),,gold (metallic)
0xffd700,Gold (web) (Golden),,gold (web) (golden)
0xe6be8a,Gold (Crayola),,gold (crayola)
